date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:37	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Aug%202018%2016:00:10%20GMT	https://themes.pixelstrap.com/robots.txt		(from )
14:44:09	289379/289379	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:56%20GMT	https://themes.pixelstrap.com/fastkart/front-end/index.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/index.html	(from )
14:44:12	404/404	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:17	7799/7799	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:19	63504/63504	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/animate.min.css	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/css/animate.min.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:30	258881/258881	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:30	7078/7078	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/united-states.png	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/images/country/united-states.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:32	3536/3536	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/united-kingdom.png	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/images/country/united-kingdom.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:34	825305/825305	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:41:48%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/style.css	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/css/style.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:37	659/659	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/germany.png	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/images/country/germany.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:38	204806/204806	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/vendors/animate.css	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/css/vendors/animate.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:39	350314/350314	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2004:41:54%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:44:59	4960/4960	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/logo/1.png	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/assets/images/logo/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:47:16	235866/235866	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:53%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-left-thumbnail.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/product-left-thumbnail.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:47:19	141613/141613	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:53%20GMT	https://themes.pixelstrap.com/fastkart/front-end/wishlist.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/wishlist.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:47:55	136478/136478	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/cart.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/cart.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:47:57	154726/154726	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:42%20GMT	https://themes.pixelstrap.com/fastkart/front-end/checkout.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/checkout.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:47:59	90462/90462	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:54%20GMT	https://themes.pixelstrap.com/fastkart/front-end/sign-up.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/sign-up.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:47:59	102154/102154	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/login.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/login.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:48:03	99993/99993	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/forgot.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/forgot.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:48:07	428421/428421	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2011:38:20%20GMT	https://themes.pixelstrap.com/fastkart/front-end/index-5.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/index-5.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:48:16	169748/169748	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2011:37:35%20GMT	https://themes.pixelstrap.com/fastkart/front-end/index-7.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/index-7.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:48:20	133390/133390	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Feb%202024%2003:49:07%20GMT	https://themes.pixelstrap.com/fastkart/front-end/index-8.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/index-8.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:28	286406/286406	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202024%2008:42:16%20GMT	https://themes.pixelstrap.com/fastkart/front-end/index-11.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/index-11.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:29	210560/210560	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/shop-category.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/shop-category.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:33	258877/258877	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/shop-list.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/shop-list.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:38	233673/233673	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/shop-top-filter.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/shop-top-filter.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:42	262725/262725	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/shop-category-slider.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/shop-category-slider.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:46	232330/232330	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-circle.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/product-circle.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:46	213353/213353	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-4-image.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/product-4-image.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
14:50:47	230113/230113	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-sticky.html	C:/My%20Web%20Sites/fastkart/themes.pixelstrap.com/fastkart/front-end/product-sticky.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
